model,accuracy,time
Ada_Boost_Classifier,93.0,385
Ada_Boost_Classifier,91.49,386
Ada_Boost_Classifier,84.48,387
Ada_Boost_Classifier,84.48,388
Ada_Boost_Classifier,74.27,389
Ada_Boost_Classifier,81.49,390
Ada_Boost_Classifier,77.9,391
Ada_Boost_Classifier,74.27,392
Ada_Boost_Classifier,74.27,393
Ada_Boost_Classifier,91.49,394
Ada_Boost_Classifier,74.27,395
Ada_Boost_Classifier,91.49,396
Ada_Boost_Classifier,74.27,397
Ada_Boost_Classifier,84.48,398
Ada_Boost_Classifier,91.49,399
Ada_Boost_Classifier,91.49,400
Ada_Boost_Classifier,81.49,401
Ada_Boost_Classifier,81.49,402
Ada_Boost_Classifier,81.49,403
Ada_Boost_Classifier,81.5,404
Ada_Boost_Classifier,95.3,405
Ada_Boost_Classifier,91.49,406
Ada_Boost_Classifier,84.48,407
Ada_Boost_Classifier,84.48,408
Ada_Boost_Classifier,81.49,409
Ada_Boost_Classifier,81.49,410
Ada_Boost_Classifier,78.11,411
Ada_Boost_Classifier,91.49,412
Ada_Boost_Classifier,84.48,413
Ada_Boost_Classifier,78.11,414
Ada_Boost_Classifier,74.27,415
Ada_Boost_Classifier,74.27,416
Ada_Boost_Classifier,81.5,417
Ada_Boost_Classifier,93.0,418
Ada_Boost_Classifier,74.27,419
Ada_Boost_Classifier,74.27,420
Ada_Boost_Classifier,81.49,421
Ada_Boost_Classifier,74.27,422
Ada_Boost_Classifier,78.11,423
Ada_Boost_Classifier,74.27,424
Ada_Boost_Classifier,93.0,425
Ada_Boost_Classifier,78.11,426
Ada_Boost_Classifier,94.25,427
Ada_Boost_Classifier,91.48,428
Ada_Boost_Classifier,81.49,429
Ada_Boost_Classifier,74.27,430
Ada_Boost_Classifier,81.49,431
Ada_Boost_Classifier,84.48,432
Ada_Boost_Classifier,94.25,433
Ada_Boost_Classifier,81.49,434
Ada_Boost_Classifier,74.27,435
Ada_Boost_Classifier,78.11,436
Ada_Boost_Classifier,84.48,437
Ada_Boost_Classifier,81.49,438
Ada_Boost_Classifier,81.49,439
Ada_Boost_Classifier,74.27,440
Ada_Boost_Classifier,78.11,441
Ada_Boost_Classifier,81.49,442
Ada_Boost_Classifier,93.0,443
Ada_Boost_Classifier,81.49,444
Ada_Boost_Classifier,93.0,445
Ada_Boost_Classifier,93.0,446
Ada_Boost_Classifier,74.27,447
Ada_Boost_Classifier,84.48,448
Ada_Boost_Classifier,84.48,449
Ada_Boost_Classifier,81.49,450
Ada_Boost_Classifier,91.49,451
Ada_Boost_Classifier,93.0,452
Ada_Boost_Classifier,74.27,453
Ada_Boost_Classifier,81.49,454
Ada_Boost_Classifier,84.48,455
Ada_Boost_Classifier,84.48,456
Ada_Boost_Classifier,74.27,457
Ada_Boost_Classifier,93.0,458
Ada_Boost_Classifier,84.48,459
Ada_Boost_Classifier,95.3,460
Ada_Boost_Classifier,74.27,461
Ada_Boost_Classifier,84.48,462
Ada_Boost_Classifier,93.0,463
Ada_Boost_Classifier,81.49,464
Ada_Boost_Classifier,93.0,465
Ada_Boost_Classifier,84.48,466
Ada_Boost_Classifier,94.25,467
Ada_Boost_Classifier,95.3,468
Ada_Boost_Classifier,84.48,469
Ada_Boost_Classifier,84.48,470
Ada_Boost_Classifier,93.0,471
Ada_Boost_Classifier,81.49,472
Ada_Boost_Classifier,81.49,473
Ada_Boost_Classifier,74.27,474
Ada_Boost_Classifier,74.27,475
Ada_Boost_Classifier,93.0,476
Ada_Boost_Classifier,91.49,477
Ada_Boost_Classifier,91.48,478
Ada_Boost_Classifier,94.25,479
Ada_Boost_Classifier,94.25,480
Ada_Boost_Classifier,74.27,481
Ada_Boost_Classifier,93.0,482
Ada_Boost_Classifier,81.49,483
Ada_Boost_Classifier,91.49,484
Ada_Boost_Classifier,93.0,485
Ada_Boost_Classifier,81.49,486
Ada_Boost_Classifier,78.11,487
Ada_Boost_Classifier,81.49,488
Ada_Boost_Classifier,81.49,489
Ada_Boost_Classifier,93.0,490
Ada_Boost_Classifier,78.11,491
Ada_Boost_Classifier,78.11,492
Ada_Boost_Classifier,81.5,493
Ada_Boost_Classifier,81.49,494
Ada_Boost_Classifier,84.48,495
Ada_Boost_Classifier,74.27,496
Ada_Boost_Classifier,81.49,497
Ada_Boost_Classifier,91.49,498
Ada_Boost_Classifier,91.49,499
Ada_Boost_Classifier,81.49,500
Ada_Boost_Classifier,93.0,501
Ada_Boost_Classifier,81.49,502
